feature,importance
vehicle_age,22.043840261476504
odometer,12.597089914042439
manufacturer,9.079556894144162
model,8.547596993988577
type,7.726101294906833
cylinders,7.563238420126355
fuel,6.924732684343457
drive,6.7891636902746075
condition,3.506740381688706
mileage_per_year,3.3524045302540353
long,2.238919614420487
lat,1.9042892787012993
transmission,1.7745939643669313
title_status,1.6401352242379255
paint_color,1.279910448494482
state,0.6734972647842203
region,0.641784203511539
listing_completeness,0.5326134407968488
size,0.5196059311286678
manufacturer_model,0.44899080923320644
posting_day_of_week,0.21519475507860875
