manufacturer,listing_count,median_price,mean_price,median_odometer,median_year,median_vehicle_age
ford,62746,17500.0,21369.830284002168,98689.0,2013.0,8.0
chevrolet,48316,16499.0,20389.197470817122,91644.0,2013.0,8.0
toyota,30531,14000.0,17494.72061183715,103514.0,2012.0,9.0
honda,19186,9400.0,11820.748879391223,113474.0,2011.0,10.0
nissan,16745,10695.0,13263.094416243655,90000.0,2014.0,7.0
jeep,16593,18977.0,20449.849273790154,81936.0,2014.0,7.0
ram,15287,30998.0,30957.09275855302,83708.0,2016.0,5.0
gmc,14892,24590.0,25536.077625570775,95000.0,2014.0,7.0
bmw,13151,18659.0,21014.37046612425,70541.0,2014.0,7.0
dodge,11417,12500.0,16539.284575632828,86697.0,2014.0,7.0
mercedes-benz,9778,19590.0,22363.08570259767,75647.0,2013.0,8.0
hyundai,9031,10977.0,12162.023474698262,84023.0,2014.0,7.0
subaru,8710,11995.0,14154.061882893226,97700.0,2013.0,8.0
volkswagen,8363,12500.0,13839.673083821595,71004.0,2014.0,7.0
lexus,7508,19999.0,20768.852956846033,80984.0,2013.0,8.0
kia,7250,11991.0,12857.192827586206,74445.0,2015.0,6.0
audi,6952,24990.0,25254.47238204833,49822.0,2016.0,5.0
cadillac,6373,17825.0,20938.257649458654,72367.0,2014.0,7.0
acura,5513,20590.0,21439.779793216036,55617.0,2015.0,6.0
chrysler,5444,8000.0,11173.357090374724,100361.0,2012.0,9.0
buick,5015,12999.0,15495.181056829511,74000.0,2014.0,7.0
mazda,4863,10495.0,13633.643841250258,86000.0,2013.0,8.0
infiniti,4377,21590.0,21395.09115832762,57000.0,2015.0,6.0
lincoln,3935,18924.0,20747.52198221093,60581.0,2016.0,5.0
volvo,3092,14570.0,18659.66106080207,84045.5,2014.0,7.0
mitsubishi,2986,15990.0,15061.451774949766,50473.0,2017.0,4.0
mini,2195,12998.0,15240.017312072892,60313.0,2013.0,8.0
pontiac,2160,4995.0,8410.346296296297,127347.0,2006.0,15.0
jaguar,1852,28990.0,27755.74406047516,29170.0,2017.0,4.0
rover,1649,26590.0,28826.47119466343,62000.0,2015.0,6.0
porsche,1249,29997.0,34028.48038430745,69505.0,2011.0,10.0
mercury,1062,4500.0,5813.7316384180795,125000.0,2004.0,17.0
saturn,1039,4300.0,5224.798845043311,128358.0,2007.0,14.0
alfa-romeo,853,29590.0,29448.561547479483,20270.0,2018.0,3.0
tesla,820,37990.0,39445.79756097561,24942.5,2018.0,3.0
fiat,747,10800.0,12527.290495314592,46000.0,2015.0,6.0
