state,listing_count,median_price,median_odometer,median_vehicle_age
ca,40961,15200.0,86086.0,8.0
fl,24302,15888.5,85113.0,7.0
tx,19881,18995.0,81157.0,6.0
ny,16639,15500.0,79000.0,8.0
oh,15557,12450.0,97000.0,8.0
mi,15527,11900.0,112000.0,8.0
or,12194,15000.0,96434.5,9.0
pa,11923,11995.0,94315.0,9.0
nc,11752,17561.5,89671.0,7.0
wa,11485,21977.0,70698.0,6.0
wi,10432,13999.0,92457.0,8.0
tn,9929,18590.0,84330.0,6.0
co,9752,16000.0,95301.5,8.0
il,8976,14995.0,80290.0,8.0
nj,8703,11899.0,95101.0,9.0
va,8208,12999.0,100544.0,9.0
id,7656,17991.0,83378.0,7.0
az,7569,17334.0,76378.0,7.0
ia,7377,13950.0,97220.0,8.0
ma,7272,12995.0,93704.5,8.0
mn,6915,14590.0,97000.0,8.0
ga,5915,19000.0,68265.0,7.0
ks,5675,16775.0,91271.0,7.0
mt,5521,22988.0,78202.0,6.0
ok,5286,18499.5,81909.0,7.0
sc,5265,19000.0,75000.0,7.0
in,5148,17590.0,78000.0,7.0
ct,4519,10975.0,99780.0,9.0
al,4347,20590.0,78000.0,7.0
md,4072,16685.0,75000.0,7.0
ky,3839,17495.0,81795.0,7.0
mo,3697,20590.0,71021.0,6.0
nm,3449,18990.0,67000.0,6.0
ak,3292,22995.0,57175.0,5.0
ar,3043,19500.0,77032.0,6.0
nv,2746,17900.0,70701.5,7.0
nh,2570,14795.0,100000.0,8.0
dc,2533,13450.0,94300.0,8.0
la,2528,17990.0,89850.0,7.0
hi,2421,19995.0,48164.0,6.0
me,2288,12995.0,107009.5,9.0
vt,2215,14995.0,95000.0,7.0
ri,2015,11599.0,102400.0,9.0
sd,1146,15000.0,106500.0,9.0
ut,1044,19995.0,77312.0,7.0
