type,listing_count,median_price,median_odometer,median_vehicle_age
unknown,75257,10960.0,110000.0,10.0
sedan,74990,11495.0,82584.0,7.0
suv,66395,14995.0,96074.0,7.0
pickup,39490,28590.0,68700.0,6.0
truck,27922,25983.0,101920.0,8.0
other,18592,27990.0,39087.0,4.0
coupe,16180,21000.0,52224.5,8.0
hatchback,14385,14950.0,52941.0,6.0
wagon,9536,13494.5,91256.0,8.0
van,7470,16950.0,97269.0,7.0
convertible,6631,16771.0,64931.0,14.0
mini-van,4321,7500.0,129640.0,11.0
offroad,522,13500.0,112382.5,17.0
bus,265,14900.0,115196.0,10.0
